id,name,code
1,BDT,
2,EUR,
3,XOF,
4,BGN,
5,BAM,
6,BBD,
7,XPF,
8,BMD,
9,BND,
10,BOB,
11,BHD,
12,BIF,
13,BTN,
14,JMD,
15,NOK,
16,BWP,
17,WST,
18,USD,
19,BRL,
20,BSD,
21,GBP,
22,BYR,
23,BZD,
24,RUB,
25,RWF,
26,RSD,
27,TMT,
28,TJS,
29,RON,
30,NZD,
31,GTQ,
32,XAF,
33,JPY,
34,GYD,
35,GEL,
36,XCD,
37,GNF,
38,GMD,
39,DKK,
40,GIP,
41,GHS,
42,OMR,
43,TND,
44,JOD,
45,HRK,
46,HTG,
47,HUF,
48,HKD,
49,HNL,
50,AUD,
51,VEF,
52,ILS,
53,PYG,
54,IQD,
55,PAB,
56,PGK,
57,PEN,
58,PKR,
59,PHP,
60,PLN,
61,ZMK,
62,MAD,
63,EGP,
64,ZAR,
65,VND,
66,SBD,
67,ETB,
68,SOS,
69,ZWL,
70,SAR,
71,ERN,
72,MDL,
73,MGA,
74,UZS,
75,MMK,
76,MOP,
77,MNT,
78,MKD,
79,MUR,
80,MWK,
81,MVR,
82,MRO,
83,UGX,
84,TZS,
85,MYR,
86,MXN,
87,SHP,
88,FJD,
89,FKP,
90,NIO,
91,NAD,
92,VUV,
93,NGN,
94,NPR,
95,CHF,
96,COP,
97,CNY,
98,CLP,
99,CAD,
100,CDF,
101,CZK,
102,CRC,
103,ANG,
104,CVE,
105,CUP,
106,SZL,
107,SYP,
108,KGS,
109,KES,
110,SSP,
111,SRD,
112,KHR,
113,KMF,
114,STD,
115,KRW,
116,KPW,
117,KWD,
118,SLL,
119,SCR,
120,KZT,
121,KYD,
122,SGD,
123,SEK,
124,SDG,
125,DOP,
126,DJF,
127,YER,
128,DZD,
129,UYU,
130,LBP,
131,LAK,
132,TWD,
133,TTD,
134,TRY,
135,LKR,
136,TOP,
137,LTL,
138,LRD,
139,LSL,
140,THB,
141,LYD,
142,AED,
143,AFN,
144,ISK,
145,IRR,
146,AMD,
147,ALL,
148,AOA,
149,,
150,ARS,
151,AWG,
152,INR,
153,AZN,
154,IDR,
155,UAH,
156,QAR,
157,MZN,
